Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17/10/2016,5514,4932,7729,6912,5300,3841,5971,5789,5449,3701,
18/10/2016,5565,5009,7791,6985,5356,3896,6022,5843,5467,3714,
19/10/2016,5624,5081,7824,7117,5435,3987,6022,5906,5489,3751,
20/10/2016,5682,5149,7837,7251,5506,4042,6053,5977,5485,3842,
21/10/2016,5736,5201,7875,7340,5618,4058,6130,6033,5480,3888,
22/10/2016,5781,5244,7919,7367,5752,4110,6186,6087,5468,3893,
23/10/2016,5826,5235,7972,7371,5906,4162,6251,6166,5454,3914,
24/10/2016,5885,5237,8045,7341,6084,4214,6364,6251,5477,3950,
25/10/2016,5942,5236,8095,7305,6214,4236,6470,6394,5525,4006,
26/10/2016,6003,5266,8162,7301,6305,4207,6586,6535,5592,4069,
27/10/2016,6060,5305,8279,7329,6397,4160,6680,6607,5629,4148,
28/10/2016,6104,5336,8389,7360,6479,4118,6746,6662,5631,4217,
29/10/2016,6140,5351,8471,7430,6525,4045,6836,6712,5609,4287,
30/10/2016,6197,5360,8593,7507,6572,4025,6956,6781,5633,4343,
31/10/2016,6275,5404,8734,7619,6631,4065,7074,6807,5721,4419,
01/11/2016,6354,5439,8838,7744,6737,4125,7163,6825,5821,4489,
02/11/2016,6427,5490,8924,7868,6839,4161,7177,6872,5961,4553,
03/11/2016,6500,5507,8967,7995,6972,4220,7193,6911,6090,4643,
04/11/2016,6570,5546,8990,8105,7074,4321,7261,7002,6195,4633,
05/11/2016,6650,5627,8976,8163,7159,4427,7365,7126,6337,4667,
06/11/2016,6708,5659,8921,8212,7229,4507,7450,7233,6465,4692,
07/11/2016,6751,5662,8842,8271,7305,4549,7476,7295,6615,4744,
08/11/2016,6769,5648,8707,8317,7408,4574,7454,7311,6709,4792,
09/11/2016,6786,5609,8639,8301,7439,4604,7500,7315,6772,4895,
10/11/2016,6803,5514,8542,8251,7447,4697,7585,7363,6875,4957,
11/11/2016,6815,5474,8432,8179,7374,4755,7699,7425,6971,5025,
12/11/2016,6839,5472,8368,8171,7273,4839,7777,7549,7028,5076,
13/11/2016,6856,5499,8407,8128,7168,4928,7792,7664,6988,5126,
14/11/2016,6869,5581,8492,8027,7089,4942,7732,7848,6942,5169,
15/11/2016,6903,5714,8550,8035,7089,4918,7673,8071,6874,5206,
16/11/2016,6933,5874,8555,8046,7123,4860,7654,8299,6713,5274,
17/11/2016,6951,5990,8518,8156,7140,4781,7651,8486,6550,5283,
18/11/2016,6975,6046,8503,8261,7124,4802,7687,8595,6443,5314,
19/11/2016,7018,6105,8482,8399,7094,4880,7763,8709,6379,5354,
20/11/2016,7075,6214,8523,8560,7024,4967,7818,8805,6366,5403,
21/11/2016,7149,6331,8628,8724,6945,5076,7835,8910,6422,5475,
22/11/2016,7228,6431,8772,8811,6899,5211,7799,9012,6521,5596,
23/11/2016,7311,6581,8887,8907,6860,5293,7780,9094,6657,5737,
24/11/2016,7409,6719,8988,9005,6844,5400,7811,9250,6779,5884,
25/11/2016,7511,6834,9061,9062,6906,5549,7803,9459,6909,6016,
26/11/2016,7605,6763,9088,9121,7054,5714,7866,9665,7040,6136,
27/11/2016,7666,6636,9097,9151,7191,5858,7934,9863,7126,6142,
28/11/2016,7752,6593,9136,9155,7433,6012,8019,10016,7251,6151,
29/11/2016,7852,6631,9243,9158,7695,6127,8079,10171,7413,6148,
30/11/2016,7941,6666,9290,9165,7934,6242,8102,10330,7588,6150,
01/12/2016,8020,6759,9265,9144,8191,6347,8140,10407,7762,6164,
02/12/2016,8097,6868,9277,9112,8365,6492,8199,10432,7892,6234,
03/12/2016,8146,7016,9377,9062,8418,6622,8244,10394,7899,6282,
04/12/2016,8206,7087,9409,9127,8498,6768,8319,10406,7871,6371,
05/12/2016,8269,7174,9428,9227,8606,6878,8426,10324,7890,6471,
06/12/2016,8353,7250,9501,9295,8726,6936,8578,10288,7985,6615,
07/12/2016,8490,7366,9636,9468,8909,6946,8774,10313,8160,6835,
08/12/2016,8649,7553,9788,9720,9141,6989,8939,10308,8358,7042,
09/12/2016,8805,7729,9931,9993,9361,7101,9091,10312,8525,7205,
10/12/2016,8944,7825,10057,10204,9562,7214,9253,10373,8642,7362,
11/12/2016,9072,8037,10082,10450,9708,7326,9446,10369,8789,7439,
12/12/2016,9179,8222,10099,10610,9837,7476,9590,10337,8944,7497,
13/12/2016,9290,8296,10156,10715,9999,7650,9760,10313,9132,7589,
14/12/2016,9433,8414,10280,10843,10178,7823,9913,10358,9369,7720,
15/12/2016,9593,8598,10481,10981,10373,7944,10071,10522,9507,7856,
16/12/2016,9826,8758,10597,11121,10571,8082,10295,11312,9698,8002,
17/12/2016,9926,8946,10669,11236,10753,8252,10522,10834,9919,8208,
18/12/2016,10092,9141,10761,11359,10849,8378,10778,10974,10089,8499,
19/12/2016,10253,9394,10883,11490,10930,8490,10948,11169,10221,8752,
20/12/2016,10409,9587,10990,11629,11059,8535,11041,11396,10417,9030,
21/12/2016,10589,9764,11171,11851,11196,8574,11141,11681,10616,9310,
22/12/2016,10755,9789,11426,12036,11329,8605,11282,11912,10866,9550,
23/12/2016,10905,9737,11745,12152,11489,8701,11342,12107,11173,9703,
24/12/2016,11053,9792,12066,12291,11606,8940,11236,12311,11442,9796,
25/12/2016,11237,9882,12432,12503,11692,9242,11251,12497,11677,9958,
26/12/2016,11425,10054,12710,12717,11760,9532,11324,12712,11911,10104,
27/12/2016,11618,10272,12941,12941,11835,9843,11478,12908,12133,10209,
28/12/2016,11809,10608,13182,13098,11905,10075,11666,13067,12289,10389,
29/12/2016,12006,10989,13414,13206,11983,10305,11927,13201,12425,10600,
30/12/2016,12224,11296,13685,13373,12098,10522,12250,13401,12558,10834,
31/12/2016,12457,11559,13995,13532,12208,10757,12632,13688,12740,11002,
