Date,Mean,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
15/06/2016,169.28,,162.48,168.18,174.86,161.69,173.42,173.38,170.72,176.32,168.08,166.74,165.56,169.96
16/06/2016,168.47,,160.88,168.02,174.07,160.99,174.03,172.74,168.25,174.21,167.54,167.49,165.09,168.27
17/06/2016,167.21,,159.43,167.18,172.1,160.68,173.33,171.09,166.27,172.69,165.9,166.85,163.91,167.04
18/06/2016,165.88,,158.58,167,170.2,161.79,172.69,168.66,164.49,170.49,163.57,166.13,162.16,164.76
19/06/2016,164.72,,157.1,166.69,168.49,161.11,171.84,168.01,162.16,168.34,161.75,166.36,162.14,162.68
20/06/2016,163.85,,155.6,166.47,166.51,159.19,171.73,168.32,161.04,166.66,160.63,166.96,161.94,161.16
21/06/2016,162.67,,154.48,165.26,163.73,158.68,171.21,169.54,159.38,163.44,158.25,167.38,161.35,159.32
22/06/2016,161.54,,154.02,165.19,161.7,158.18,170.63,169.25,157.3,161.42,156.26,166.93,159.85,157.71
23/06/2016,160.13,,152.76,164.3,160.29,157.73,170.42,168.7,154.62,159.67,153.98,165.68,157.66,155.71
24/06/2016,158.96,,151.97,162.6,158.68,157.26,170.39,168.67,152.33,156.91,153.62,165.18,156.71,153.22
25/06/2016,157.81,,151.49,161.93,156.76,155.89,168.25,168.25,153,154.16,151.94,163.04,157.07,151.95
26/06/2016,156.45,,152.1,161.38,154.34,153.64,165.88,167.25,150.67,152.66,151.37,161.69,156.06,150.36
27/06/2016,154.87,,152.1,161.71,151.49,153.43,163.6,165.72,148.81,149.85,149.68,158.67,154.98,148.38
28/06/2016,153.53,,150.75,161.63,151.28,151.14,163.22,164.36,146.93,148.36,149.59,155.82,152.48,146.77
29/06/2016,152.45,,151.92,163.4,149.83,149.52,161.63,161.68,144.21,147.71,149.3,154.03,152.52,143.59
30/06/2016,150.31,,150.6,162.22,147.66,147.62,160.64,159.07,142.31,144.72,147.4,151,150.62,139.8
01/07/2016,148.77,,150.29,161.24,145.31,146.72,159.71,158.13,140.9,140.9,147.44,148.24,149.24,137.15
02/07/2016,147.21,,149.59,159.15,142.49,144.43,157.79,156.42,138.69,139.71,151.35,145.93,146.79,134.14
03/07/2016,145.48,151.33,148.71,157.01,139.79,143.17,155.85,152.82,135.91,136.06,148.28,144.01,145.43,132.92
04/07/2016,143.74,146.31,150.25,155.92,138.04,142.06,153.96,148.24,131.67,133.22,151.1,143.33,144.53,130.03
05/07/2016,141.81,143.55,147.99,154.67,136.02,140.08,152.27,146.26,130.09,132.31,147.54,141.17,142.87,128.7
06/07/2016,139.43,141.16,145.95,153.63,133.98,135.99,148.89,142.05,128.17,131.78,143.98,138.69,140.42,127.88
07/07/2016,137.75,138.63,145.65,153.57,131.97,134.09,146.04,139.75,126.83,131.7,142.59,136.3,138.25,125.32
08/07/2016,136.39,137.49,144.9,154.08,129.74,132.93,143.53,136.97,126.53,129.22,142.25,135.5,134.87,125.02
09/07/2016,134.5,136.37,146.01,153.47,126.19,130.26,141.72,132.81,125.24,126.79,139.13,135.66,133.31,121.49
10/07/2016,132.74,134.27,144.95,153.34,124.34,127.24,140.5,130.03,122.16,127.4,136.25,133.96,131.45,119.75
11/07/2016,130.96,132.07,142.83,151.54,121.77,126.23,139.88,128.71,118.65,124.94,136.82,130.74,129.41,118.84
12/07/2016,129.31,128.31,142.9,150.3,119.17,124.52,139.63,127.36,116.5,123.12,134.69,130.9,128.05,115.55
13/07/2016,128.09,126.07,140.27,148.32,117.6,122.42,138.68,128.74,114.11,123.12,134.8,130.72,124.94,115.43
14/07/2016,126.52,125.05,138.4,145.84,114.47,120.87,137.21,126.2,112.46,124.23,131.62,131.11,123.03,114.25
15/07/2016,124.72,121.61,137,144.5,112.61,118.96,134.56,122.61,110.74,124.25,130.53,131.27,119.64,113.08
16/07/2016,122.99,118.72,134.48,142.72,111.96,114.31,134.24,121.66,109.25,122.38,130.56,129.93,117.4,111.32
17/07/2016,121.16,117.84,132.73,138.7,110.84,111.87,133.49,119.21,108.52,121.03,127.91,130.29,113.56,109.05
