Date,Greenland,Canada,USA,eastern Canada,western Canada,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
26/06/1997,-0.161,-1.672,-0.492,-0.517,-1.432,-2.676,-1.134,0,0,-0.03,-0.715
27/06/1997,0.066,-1.433,-0.506,-0.575,-1.442,-2.015,-1.187,0,0,-0.03,-0.72
28/06/1997,-0.205,-1.55,-0.464,-0.577,-1.351,-2.391,-1.006,0,0,-0.03,-0.721
29/06/1997,-0.001,-1.572,-0.462,-0.4,-1.357,-2.565,-0.975,0,0,-0.03,-0.739
30/06/1997,-0.076,-0.984,-0.431,0.125,-1.193,-1.564,-0.861,0,0,-0.03,-0.727
01/07/1997,-0.38,-1.247,-0.411,-0.003,-1.202,-2.14,-0.887,0,0,-0.03,-0.645
02/07/1997,-0.401,-1.334,-0.418,-0.019,-1.227,-2.331,-0.904,0,0,-0.03,-0.653
03/07/1997,-0.432,-1.349,-0.411,-0.038,-1.113,-2.456,-0.867,0,0,-0.03,-0.658
04/07/1997,-0.449,-1.599,-0.425,-0.051,-1.638,-2.629,-0.922,0,0,-0.03,-0.663
05/07/1997,0.023,-1.516,-0.429,-0.054,-1.603,-2.444,-0.926,0,0,-0.03,-0.672
06/07/1997,-0.041,-1.557,-0.411,-0.056,-1.621,-2.532,-0.843,0,0,-0.03,-0.676
07/07/1997,-0.406,-1.361,-0.42,0.044,-1.306,-2.374,-0.948,0,0,-0.03,-0.625
08/07/1997,-0.2,-0.925,-0.211,0.064,-0.504,-1.971,-0.233,0,0,-0.03,-0.498
09/07/1997,-0.377,-0.883,-0.216,0.053,-0.523,-1.841,-0.247,0,0,-0.03,-0.501
10/07/1997,-0.406,-0.935,-0.222,0.029,-0.526,-1.954,-0.259,0,0,-0.03,-0.512
11/07/1997,-0.657,-1.058,-0.225,0.008,-0.532,-2.25,-0.275,0,0,-0.03,-0.512
12/07/1997,-0.409,-0.792,-0.224,0.008,-0.574,-1.531,-0.27,0,0,-0.03,-0.51
13/07/1997,-0.431,-0.712,-0.215,0.007,-0.52,-1.372,-0.308,0,0,-0.03,-0.452
14/07/1997,-0.675,-0.829,-0.223,0.028,-0.528,-1.68,-0.34,0,0,-0.029,-0.455
15/07/1997,-0.069,-0.279,-0.222,0.024,-0.528,-0.271,-0.331,0,0,-0.029,-0.457
